UTC_TX,Latitude_raw_TX,Latitude_dir_TX,Longitude_raw_TX,Longitude_dir_TX,speed_raw_TX,heading_raw_TX,seq_num_TX,UTC_RX,Latitude_raw_RX,Latitude_dir_RX,Longitude_raw_RX,Longitude_dir_RX,speed_raw_RX,heading_raw_RX,IPG,Latency,Distance_RXTX,UTC_RAW_GPS,diff
162952.10,4437.27597,N,01056.71015,E,29.738,215.88,234,162952.111256,4437.39114,N,01056.83825,E,51.557,221.20,59403.184000,11.256000,216.915722,162952.30,188744
162954.60,4437.25909,N,01056.69344,E,29.968,215.06,240,162954.610215,4437.36512,N,01056.80777,E,50.143,219.04,2498.959000,10.215000,199.510111,162954.70,89785
163002.50,4437.20476,N,01056.64043,E,30.636,215.38,259,163002.504287,4437.27589,N,01056.71318,E,51.150,215.62,7894.072000,4.287000,133.640225,163002.60,95713
163002.90,4437.20201,N,01056.63764,E,30.423,216.10,260,163002.907316,4437.27015,N,01056.70743,E,50.586,215.68,403.029000,7.316000,128.027464,163003.10,192684
163003.40,4437.19855,N,01056.63416,E,30.770,215.92,261,163003.413204,4437.26103,N,01056.69837,E,50.097,215.18,505.888000,13.204000,117.403802,163003.90,486796
163003.90,4437.19510,N,01056.63068,E,30.613,216.00,262,163003.905180,4437.25990,N,01056.69725,E,49.885,215.31,491.976000,5.180000,121.762030,163004.00,94820
163004.40,4437.19164,N,01056.62717,E,30.597,216.26,263,163004.410230,4437.25313,N,01056.69059,E,49.454,214.66,505.050000,10.230000,115.554937,163004.60,189770
163004.80,4437.18891,N,01056.62437,E,30.455,215.89,264,163004.813314,4437.24861,N,01056.68625,E,49.277,214.29,403.084000,13.314000,112.206470,163005.00,186686
163005.20,4437.18618,N,01056.62157,E,30.620,216.55,265,163005.205389,4437.24410,N,01056.68201,E,48.820,213.81,392.075000,5.389000,108.881412,163005.40,194611
163005.60,4437.18346,N,01056.61881,E,30.270,216.13,266,163005.610195,4437.23961,N,01056.67782,E,48.563,213.71,404.806000,10.195000,105.575272,163005.80,189805
163006.00,4437.18074,N,01056.61605,E,30.321,215.71,267,163006.011260,4437.23625,N,01056.67472,E,48.259,213.65,401.065000,11.260000,104.388943,163006.10,88740
163006.40,4437.17800,N,01056.61327,E,30.408,215.68,268,163006.412257,4437.22964,N,01056.66847,E,47.744,214.18,400.997000,12.257000,97.143246,163006.70,287743
163006.80,4437.17526,N,01056.61048,E,30.520,215.99,269,163006.814319,4437.22530,N,01056.66426,E,47.335,214.78,402.062000,14.319000,94.148492,163007.10,285681
163007.40,4437.17112,N,01056.60630,E,30.709,215.75,270,163007.411257,4437.22101,N,01056.66004,E,47.126,215.09,596.938000,11.257000,93.872617,163007.50,88743
