UTC,Latitude_raw,Latitude_dir,Longitude_raw,Longitude_dir,speed_raw,heading_raw,seq_num,trig_S,trig_H,trig_D,trig_TO
162841.900000,4437.602590,N,1056.888450,E,20.153000,135.000000,96,0,0,1,0
162842.500000,4437.600200,N,1056.891740,E,20.103000,135.970000,97,0,0,1,0
162843.100000,4437.597770,N,1056.894990,E,20.187000,136.430000,98,0,0,1,0
162843.700000,4437.595330,N,1056.898230,E,20.229000,136.710000,99,0,0,1,0
162844.400000,4437.592480,N,1056.902040,E,20.350000,136.390000,100,0,0,1,0
162845.000000,4437.589980,N,1056.905380,E,20.925000,136.280000,101,0,0,1,0
162845.600000,4437.587450,N,1056.908740,E,20.982000,136.610000,102,0,0,1,0
162846.100000,4437.585310,N,1056.911530,E,21.114000,137.330000,103,0,0,1,0
162846.600000,4437.583170,N,1056.914280,E,21.015000,137.480000,104,0,0,1,0
162847.100000,4437.580990,N,1056.916990,E,20.942000,138.110000,105,0,0,1,0
162847.600000,4437.578860,N,1056.919690,E,20.208000,137.970000,106,0,0,1,0
162848.100000,4437.576710,N,1056.922450,E,20.897000,138.030000,107,0,0,1,0
162848.600000,4437.574580,N,1056.925220,E,20.872000,137.460000,108,0,0,1,0
162849.200000,4437.572020,N,1056.928500,E,20.830000,137.860000,109,0,0,1,0
162849.700000,4437.569890,N,1056.931220,E,20.773000,137.900000,110,0,0,1,0
162850.200000,4437.567750,N,1056.933920,E,20.768000,138.400000,111,0,0,1,0
162850.900000,4437.564770,N,1056.937650,E,20.442000,138.750000,112,0,0,1,0
162851.500000,4437.562260,N,1056.940770,E,20.228000,138.540000,113,0,0,1,0
162852.100000,4437.559790,N,1056.943830,E,19.472000,138.470000,114,0,0,1,0
162852.700000,4437.557360,N,1056.946810,E,19.295000,138.770000,115,0,0,1,0
162853.400000,4437.554540,N,1056.950250,E,19.261000,139.510000,116,0,0,1,0
162854.000000,4437.552120,N,1056.953190,E,19.138000,139.380000,117,0,0,1,0
162854.600000,4437.549700,N,1056.956150,E,19.282000,138.480000,118,0,0,1,0
162855.200000,4437.547330,N,1056.959170,E,19.303000,137.680000,119,0,0,1,0
162855.800000,4437.545040,N,1056.962250,E,19.181000,136.120000,120,0,0,1,0
162856.400000,4437.542760,N,1056.965260,E,18.562000,136.610000,121,0,0,1,0
162857.100000,4437.540170,N,1056.968720,E,18.273000,136.360000,122,0,0,1,0
162857.700000,4437.538030,N,1056.971640,E,17.621000,136.190000,123,0,0,1,0
162858.400000,4437.535610,N,1056.974960,E,17.228000,135.330000,124,0,0,1,0
162859.100000,4437.533330,N,1056.978240,E,16.604000,133.490000,125,0,0,1,0
162859.800000,4437.531230,N,1056.981560,E,16.155000,130.100000,126,0,0,1,0
162900.000000,4437.530680,N,1056.982530,E,15.860000,128.560000,127,0,0,0,1
162900.600000,4437.529170,N,1056.985510,E,15.463000,124.520000,128,0,1,0,0
162901.400000,4437.527450,N,1056.989510,E,14.763000,120.170000,129,0,1,0,0
162902.400000,4437.525420,N,1056.994260,E,13.783000,122.590000,130,1,0,1,1
162903.000000,4437.524110,N,1056.996840,E,13.358000,127.400000,131,0,1,0,0
162903.400000,4437.523140,N,1056.998420,E,13.195000,131.990000,132,0,1,0,0
162903.900000,4437.521830,N,1057.000250,E,13.284000,137.070000,133,0,1,0,0
162904.300000,4437.520690,N,1057.001590,E,13.427000,141.920000,134,0,1,0,0
162904.600000,4437.519790,N,1057.002490,E,13.467000,146.020000,135,0,1,0,0
162905.000000,4437.518510,N,1057.003560,E,13.418000,150.710000,136,0,1,0,0
162905.500000,4437.516850,N,1057.004720,E,13.410000,155.870000,137,0,1,0,0
162906.000000,4437.515140,N,1057.005630,E,13.109000,161.800000,138,0,1,0,0
162906.500000,4437.513410,N,1057.006320,E,12.973000,166.800000,139,0,1,0,0
162907.000000,4437.511670,N,1057.006750,E,12.748000,172.400000,140,0,1,0,0
162907.400000,4437.510280,N,1057.006920,E,12.718000,177.350000,141,0,1,0,0
162907.800000,4437.508900,N,1057.006920,E,12.700000,182.320000,142,0,1,0,0
162908.400000,4437.506830,N,1057.006570,E,12.597000,189.020000,143,0,1,0,0
162908.900000,4437.505120,N,1057.006000,E,13.091000,195.740000,144,0,1,0,0
162909.500000,4437.503000,N,1057.004990,E,13.805000,201.540000,145,0,1,0,0
162910.200000,4437.500450,N,1057.003320,E,14.860000,207.670000,146,1,1,1,0
